LR04_age (kyrs),eNd,Max Error  (2SE)
0.27,-9.38,0.16
4.13,-9.99,0.17
7.23,-9.78,0.18
9.47,-9.22,0.19
12.58,-9.38,0.14
15.31,-7.96,0.25
17.06,-7.36,0.19
19.90,-6.97,0.19
22.73,-7.31,0.19
26.22,-6.49,0.22
28.45,-7.67,0.19
30.01,-7.87,0.22
32.75,-7.42,0.22
39.03,-8.64,0.21
42.90,-8.41,0.22
46.20,-9.11,0.23
49.51,-8.91,0.15
52.81,-7.72,0.22
56.12,-9.41,0.15
59.42,-8.24,0.18
62.73,-8.85,0.20
65.73,-7.56,0.20
68.08,-7.63,0.22
70.44,-7.95,0.20
72.79,-8.64,0.26
75.14,-9.77,0.28
77.49,-9.51,0.16
79.84,-8.75,0.19
82.19,-9.38,0.19
84.54,-8.57,0.30
86.89,-9.58,0.21
89.24,-9.31,0.16
91.59,-8.61,0.24
93.94,-9.33,0.33
96.29,-9.27,0.18
100.99,-9.98,0.19
103.34,-8.97,0.16
105.69,-9.41,0.25
108.04,-8.58,0.25
110.39,-8.89,0.22
112.74,-8.97,0.17
115.09,-8.37,0.21
117.37,-9.54,0.30
119.32,-9.03,0.20
121.03,-9.19,0.18
132.08,-6.84,0.20
137.51,-7.75,0.36
140.23,-7.09,0.22
142.60,-7.10,0.32
145.32,-7.05,0.18
148.03,-6.53,0.26
149.05,-7.79,0.46
153.46,-6.48,0.21
156.17,-6.31,0.24
158.89,-7.25,0.20
161.60,-8.10,0.14
164.31,-7.30,0.23
167.03,-7.91,0.19
169.74,-7.22,0.24
172.46,-8.11,0.25
175.17,-8.77,0.18
177.88,-7.86,0.20
180.60,-7.42,0.22
183.31,-8.80,0.19
186.37,-7.74,0.21
188.74,-7.96,0.18
191.46,-8.90,0.16
194.23,-8.97,0.20
197.88,-8.96,0.23
201.98,-9.97,0.14
205.18,-8.85,0.17
208.82,-9.80,0.18
212.47,-10.00,0.23
216.12,-9.49,0.17
219.77,-8.57,0.18
222.90,-7.62,0.19
226.00,-9.03,0.24
229.10,-9.18,0.15
232.19,-8.36,0.18
235.29,-9.28,0.19
238.39,-9.19,0.17
241.10,-9.75,0.19
244.50,-8.92,0.19
247.20,-8.41,0.19
249.55,-8.58,0.18
252.58,-8.01,0.17
255.27,-8.21,0.17
257.96,-8.46,0.20
260.65,-7.78,0.16
263.35,-7.20,0.18
266.04,-7.03,0.18
268.73,-6.66,0.20
274.11,-7.82,0.19
276.80,-7.64,0.20
279.50,-8.86,0.18
281.70,-9.77,0.16
283.78,-9.94,0.23
285.61,-8.73,0.21
287.96,-9.35,0.23
290.04,-8.99,0.21
291.87,-8.67,0.19
294.29,-9.17,0.17
296.45,-8.94,0.23
298.60,-8.70,0.16
300.76,-9.06,0.19
302.91,-10.13,0.16
305.07,-9.96,0.26
307.22,-9.83,0.13
309.38,-8.96,0.18
311.54,-8.78,0.25
313.69,-9.55,0.18
315.85,-9.64,0.26
318.00,-9.40,0.21
320.16,-9.76,0.19
322.31,-8.32,0.20
324.47,-10.30,0.17
326.63,-9.64,0.24
328.78,-9.97,0.18
330.94,-9.85,0.21
333.09,-10.01,0.17
335.25,-9.27,0.17
337.40,-8.78,0.20
339.20,-9.42,0.20
341.33,-8.53,0.21
343.45,-7.78,0.22
345.57,-7.86,0.27
347.70,-8.34,0.21
349.82,-8.39,0.20
351.94,-7.92,0.22
354.07,-8.03,0.27
356.19,-8.18,0.17
358.31,-7.78,0.23
360.44,-8.05,0.23
362.83,-7.97,0.22
364.95,-8.21,0.12
367.07,-8.04,0.21
369.20,-8.66,0.29
371.32,-8.67,0.20
373.44,-9.16,0.17
375.57,-9.27,0.24
377.69,-8.09,0.18
379.81,-8.30,0.20
381.15,-8.74,0.17
382.42,-9.92,0.22
383.68,-9.28,0.23
384.95,-10.18,0.21
386.21,-9.47,0.18
387.48,-9.67,0.18
388.74,-9.07,0.24
390.01,-9.09,0.25
391.27,-10.11,0.24
392.54,-9.99,0.18
393.80,-10.54,0.24
395.07,-10.39,0.18
396.33,-10.74,0.23
397.60,-9.73,0.27
398.86,-10.59,0.24
400.12,-9.24,0.21
401.39,-8.65,0.19
402.65,-9.55,0.23
403.92,-9.23,0.32
405.18,-9.73,0.19
406.45,-9.85,0.18
407.71,-9.33,0.23
408.98,-8.91,0.20
410.24,-8.73,0.23
411.51,-9.38,0.25
412.77,-9.10,0.28
414.04,-8.38,0.23
415.30,-9.18,0.18
416.57,-9.51,0.21
417.83,-10.09,0.24
419.10,-9.97,0.22
420.44,-8.63,0.31
421.70,-9.57,0.24
422.97,-8.68,0.25
425.03,-8.40,0.22
429.20,-7.87,0.19
431.29,-6.87,0.23
433.37,-6.97,0.26
435.46,-6.85,0.21
437.54,-6.87,0.20
439.63,-6.66,0.21
441.71,-7.14,0.23
443.80,-8.44,0.21
445.88,-8.39,0.20
447.97,-7.39,0.23
450.05,-7.76,0.23
452.14,-8.18,0.17
454.22,-8.70,0.19
456.31,-7.66,0.21
458.39,-8.76,0.30
460.48,-8.14,0.15
462.56,-7.72,0.22
464.65,-9.36,0.17
466.74,-9.02,0.27
468.82,-8.85,0.25
470.91,-8.73,0.24
473.53,-8.56,0.24
476.76,-9.23,0.22
479.99,-9.19,0.18
483.22,-9.99,0.20
486.45,-9.34,0.19
489.68,-9.76,0.18
492.91,-9.53,0.23
496.14,-10.34,0.19
499.37,-9.12,0.22
502.60,-10.24,0.22
505.83,-9.82,0.19
509.06,-9.65,0.17
512.29,-8.63,0.26
515.52,-9.49,0.17
518.75,-9.60,0.31
521.98,-9.85,0.17
525.21,-9.01,0.18
528.44,-9.86,0.18
531.67,-8.69,0.21
534.90,-9.19,0.20
541.60,-7.63,0.21
554.74,-8.93,0.18
562.62,-9.16,0.18
566.98,-8.97,0.20
571.35,-10.03,0.19
575.71,-9.89,0.19
580.07,-9.27,0.20
584.44,-10.33,0.22
588.80,-9.52,0.20
593.16,-9.14,0.15
597.53,-8.89,0.24
601.89,-8.28,0.16
606.58,-9.46,0.26
610.95,-9.30,0.16
615.31,-8.68,0.16
619.67,-8.62,0.19
624.76,-7.87,0.18
629.90,-8.13,0.18
635.04,-7.56,0.16
640.19,-6.22,0.15
645.33,-7.53,0.19
650.47,-7.56,0.21
655.61,-7.41,0.19
660.76,-7.39,0.19
665.90,-7.94,0.19
676.19,-8.38,0.20
681.33,-8.57,0.19
686.47,-8.06,0.19
691.61,-9.17,0.20
696.76,-9.35,0.21
701.90,-9.53,0.18
707.04,-9.51,0.18
711.81,-9.17,0.24
