Age [ka BP],stack,std
3.5,1.028117754,0.043591214
8.5,0.9392,0.188959519
13.5,0.945318182,0.162480577
18.5,1.158596154,0.316770813
23.5,1.150416667,0.282108566
28.5,1.179431818,0.207877314
33.5,1.072612587,0.192703853
38.5,0.9966,0.101231418
43.5,1.058551587,0.180494412
48.5,1.1607,0.107697261
53.5,1.010933333,0.10582307
58.5,0.953958333,0.153181348
63.5,1.062765152,0.317091069
68.5,1.070666667,0.218837205
73.5,1.16125,0.119608737
78.5,1.330409091,0.146095923
83.5,1.116647727,0.061738299
88.5,1.135769231,0.166946781
93.5,0.84625,0.386375309
98.5,1.087857143,0.152094224
103.5,0.853333333,0.264816498
108.5,1.087981818,0.189310716
113.5,0.9485,0.280955957
118.5,0.691083333,0.268071767
123.5,0.716809211,0.322722011
128.5,0.557166667,0.159881553
133.5,0.816380952,0.203121502
138.5,0.679833333,0.262497778
143.5,0.913333333,0.230410262
148.5,0.69055,0.284526383
153.5,0.640803571,0.391722645
158.5,0.7657,0.182811241
163.5,0.841692308,0.093077161
168.5,0.660892857,0.245688243
173.5,0.518636364,0.294517863
178.5,0.765,0.204042479
183.5,0.68,0.150249792
188.5,0.774375,0.245563765
193.5,0.837291667,0.353838328
198.5,0.772321429,0.067260219
203.5,0.877102564,0.310405527
208.5,0.873333333,0.104203327
213.5,0.784666667,0.457707755
218.5,0.73375,0.329630475
223.5,0.807083333,0.292705689
228.5,0.6298,0.371302033
233.5,0.8875,0.108572386
238.5,0.697589286,0.149417627
243.5,0.601166667,0.305477586
248.5,0.769761905,0.21508818
253.5,0.72475,0.160655688
258.5,1.036666667,0.237135685
263.5,0.664045455,0.339541819
268.5,0.61925,0.448145136
273.5,0.495833333,0.39490769
278.5,0.8125,0.216342707
283.5,0.792916667,0.28616356
288.5,0.899107143,0.330048118
293.5,0.7565,0.365563606
298.5,0.955416667,0.260097471
303.5,0.717678571,0.317051346
308.5,0.8045,0.273932017
313.5,0.590138889,0.350555225
318.5,0.70375,0.250511976
323.5,0.964375,0.168106799
328.5,0.57,0.325269119
333.5,0.60625,0.409304684
338.5,0.546111111,0.441287049
343.5,0.687285714,0.235950315
348.5,0.710833333,0.38118146
353.5,0.621904762,0.422650636
358.5,0.812333333,0.511788259
363.5,0.89150641,0.31862814
368.5,1.005284314,0.215295994
373.5,1.000955882,0.165794959
378.5,0.924060606,0.180069061
383.5,0.657875,0.359832918
388.5,0.951907895,0.42443006
393.5,0.899264706,0.271896401
398.5,1.003333333,0.323161466
403.5,1.108833333,0.164640686
408.5,1.170196078,0.130834867
413.5,0.947102273,0.161330489
418.5,0.826380208,0.276078029
423.5,0.29675,0.627053095
428.5,0.335352564,0.429131584
433.5,0.593555556,0.377893487
438.5,0.625,0.761626549
443.5,0.901830065,0.469973141
448.5,0.922321429,0.445712521
453.5,0.657916667,0.402438531
458.5,1.012651515,0.474658666
463.5,0.867954545,0.448369982
468.5,1.134807692,0.267725738
473.5,1.074571429,0.289675047
478.5,1.1459375,0.250173638
483.5,1.371133333,0.256714346
488.5,1.430555556,0.04673606
493.5,1.120267857,0.497861189
498.5,1.279,0.082527437
503.5,1.2525,0.08967534
508.5,1.386666667,0.19165942
513.5,1.285,0.172916165
518.5,1.324166667,0.144558715
523.5,1.355357143,0.26027556
528.5,1.248888889,0.238335276
533.5,0.916666667,0.312641079
538.5,1.059357143,0.258692198
543.5,1.0421875,0.16901792
548.5,1.059722222,0.22940005
553.5,0.945,0.368476594
558.5,1.078611111,0.333837466
563.5,0.945297619,0.188164582
568.5,0.93625,0.216077725
573.5,0.9675,0.047871355
578.5,0.32375,0.584513687
583.5,0.868333333,0.289501487
588.5,0.8875,0.191898411
593.5,0.9575,0.155543402
598.5,0.874583333,0.377558862
603.5,0.758333333,0.321372923
