Age (ka),d13C
3.5,0.89
8.5,0.89
13.5,0.62
18.5,0.16
23.5,0.41
28.5,0.76
33.5,0.82
38.5,0.78
43.5,0.88
48.5,0.77
53.5,0.37
58.5,0.08
63.5,0.00
68.5,0.34
73.5,0.87
78.5,1.18
83.5,0.91
88.5,0.97
93.5,1.00
98.5,0.80
103.5,0.71
108.5,0.70
113.5,0.84
118.5,0.81
123.5,0.82
128.5,0.63
133.5,0.18
138.5,-0.01
143.5,-0.19
148.5,-0.02
153.5,0.05
158.5,0.09
163.5,0.19
168.5,0.33
173.5,0.12
178.5,-0.13
183.5,0.01
188.5,0.42
193.5,0.70
198.5,0.86
203.5,0.86
208.5,0.96
213.5,0.79
218.5,0.33
223.5,0.46
228.5,0.61
233.5,0.81
238.5,0.71
243.5,0.56
248.5,0.62
253.5,0.23
258.5,0.50
263.5,0.45
268.5,-0.35
273.5,-0.17
278.5,0.57
283.5,0.75
288.5,0.06
293.5,0.12
298.5,0.55
303.5,0.47
308.5,0.46
313.5,0.40
318.5,0.71
323.5,0.55
328.5,0.61
333.5,-0.09
338.5,-0.40
343.5,-0.38
348.5,-0.01
353.5,0.78
358.5,-0.28
363.5,0.22
368.5,0.49
373.5,0.26
378.5,0.79
383.5,0.89
388.5,0.85
393.5,0.90
398.5,1.30
403.5,1.25
408.5,1.05
413.5,0.99
418.5,0.81
423.5,0.06
428.5,-0.75
433.5,-0.65
438.5,-0.68
443.5,-0.37
448.5,-0.34
453.5,-0.37
458.5,-0.34
463.5,-0.30
468.5,0.03
473.5,-0.03
478.5,0.76
483.5,0.80
488.5,0.85
493.5,0.97
498.5,1.13
503.5,1.05
508.5,0.95
513.5,0.90
518.5,0.85
523.5,0.81
528.5,0.51
533.5,-0.01
538.5,0.22
543.5,0.43
548.5,0.57
553.5,0.27
558.5,0.07
563.5,0.18
568.5,0.41
573.5,0.62
578.5,0.55
583.5,0.53
588.5,0.52
593.5,0.49
598.5,0.80
603.5,0.82
608.5,1.03
613.5,0.88
618.5,1.13
623.5,0.03
628.5,0.00
633.5,0.73
638.5,0.07
643.5,-0.32
648.5,-0.12
653.5,0.07
658.5,-0.08
663.5,-0.11
668.5,0.13
673.5,0.11
678.5,0.38
683.5,0.68
688.5,0.98
693.5,1.07
698.5,0.92
703.5,0.91
708.5,-0.01
713.5,-0.46
718.5,-0.32
723.5,-0.21
728.5,0.25
733.5,0.93
738.5,0.38
743.5,-0.50
748.5,-0.44
753.5,-0.16
758.5,-0.24
763.5,-0.29
768.5,0.06
773.5,0.22
778.5,0.66
783.5,0.35
788.5,-0.12
793.5,-0.42
798.5,-0.47
803.5,-0.54
808.5,0.01
813.5,0.35
818.5,0.67
823.5,0.55
828.5,0.41
833.5,0.43
838.5,0.66
843.5,0.73
848.5,0.65
853.5,0.58
858.5,0.53
863.5,-0.21
868.5,0.05
873.5,-0.74
878.5,-0.50
883.5,-0.47
888.5,-0.68
893.5,-0.49
898.5,-0.10
903.5,0.49
908.5,0.29
913.5,0.35
918.5,-0.86
923.5,-0.28
928.5,-0.10
933.5,0.28
938.5,0.68
943.5,0.46
948.5,0.55
953.5,0.57
958.5,0.40
963.5,0.10
968.5,0.74
973.5,0.56
978.5,0.76
983.5,0.32
988.5,0.61
993.5,0.91
998.5,0.83
1003.5,0.48
1008.5,0.60
1013.5,0.76
1018.5,0.93
1023.5,0.96
1028.5,0.94
1033.5,0.89
1038.5,0.97
1043.5,0.84
1048.5,0.78
1053.5,-0.02
1058.5,0.07
1063.5,0.82
1068.5,1.05
1073.5,0.91
1078.5,0.87
1083.5,0.90
1088.5,0.85
1093.5,0.81
1098.5,0.73
1103.5,0.92
1108.5,0.88
1113.5,0.83
1118.5,0.50
1123.5,-0.01
1128.5,-0.07
1133.5,0.53
1138.5,0.29
1143.5,0.39
1148.5,0.71
1153.5,0.94
1158.5,0.99
1163.5,1.05
1168.5,1.00
1173.5,1.03
1178.5,0.95
1183.5,0.77
1188.5,0.65
1193.5,0.42
1198.5,0.35
1203.5,0.19
1208.5,0.43
1213.5,0.36
1218.5,0.53
1223.5,0.80
1228.5,0.91
1233.5,0.86
1238.5,0.64
1243.5,0.28
1248.5,-0.37
1253.5,0.30
1258.5,0.74
1263.5,1.07
1268.5,0.52
1273.5,0.59
1278.5,0.97
1283.5,1.00
1288.5,1.06
1293.5,0.87
1298.5,0.49
1303.5,0.44
1308.5,0.87
1313.5,0.91
1318.5,0.26
1323.5,0.93
1328.5,0.61
1333.5,0.26
1338.5,0.38
1343.5,0.82
1348.5,1.09
1353.5,1.02
1358.5,1.09
1363.5,1.00
1368.5,0.98
1373.5,0.57
1378.5,1.08
1383.5,0.95
1388.5,1.02
1393.5,1.11
1398.5,1.12
1403.5,1.05
1408.5,0.90
1413.5,0.63
1418.5,0.44
1423.5,0.72
1428.5,1.06
1433.5,1.07
1438.5,1.04
1443.5,0.69
1448.5,0.27
1453.5,-0.06
1458.5,0.07
1463.5,0.25
1468.5,0.75
1473.5,0.94
1478.5,0.94
1483.5,1.10
1488.5,0.83
1493.5,0.63
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
