Age [ka BP],13C [‰ PDB]
3.5,0.11876494
8.5,-0.094693878
13.5,-0.254166667
18.5,-0.425308642
23.5,-0.307142857
28.5,-0.418957346
33.5,-0.31759542
38.5,-0.17954023
43.5,-0.222876712
48.5,-0.219803922
53.5,-0.382873563
58.5,-0.505446429
63.5,-0.522460733
68.5,-0.255211268
73.5,-0.148888889
78.5,-0.072871287
83.5,-0.110732984
88.5,-0.11600551
93.5,-0.139425982
98.5,-0.331203704
103.5,-0.246159601
108.5,-0.17469496
113.5,-0.000955224
118.5,0.110601504
123.5,0.036341463
128.5,-0.248162393
133.5,-0.390440529
138.5,-0.339954751
143.5,-0.487314815
148.5,-0.427641509
153.5,-0.501081081
158.5,-0.397081081
163.5,-0.420851064
168.5,-0.53106599
173.5,-0.521674009
178.5,-0.411186441
183.5,-0.310159363
188.5,-0.334315068
193.5,-0.260529101
198.5,-0.168515815
203.5,-0.039777283
208.5,-0.049866667
213.5,-0.26
218.5,-0.333333333
223.5,-0.467734807
228.5,-0.489535604
233.5,-0.487619048
238.5,-0.329949239
243.5,-0.487962963
248.5,-0.573333333
253.5,-0.834066986
258.5,-0.847142857
263.5,-0.637137809
268.5,-0.650658683
273.5,-0.633
278.5,-0.422191781
283.5,-0.286459627
288.5,-0.373824701
293.5,-0.538252427
298.5,-0.405620438
303.5,-0.427677725
308.5,-0.531546961
313.5,-0.475102041
318.5,-0.354228188
323.5,-0.344562738
328.5,-0.2825
333.5,-0.308552972
338.5,-0.647491289
343.5,-0.520522876
348.5,-0.482122449
353.5,-0.687934783
358.5,-0.513741497
363.5,-0.346548913
368.5,-0.483943299
373.5,-0.317152318
378.5,-0.130967742
383.5,-0.229964912
388.5,-0.195531915
393.5,0.062183406
398.5,-0.14358209
403.5,0.04650655
408.5,0.02295082
413.5,-0.02115942
418.5,-0.13624183
423.5,-0.36877551
428.5,-0.474428571
433.5,-0.426690909
438.5,-0.370757576
443.5,-0.275874439
448.5,-0.4
453.5,-0.543853659
458.5,-0.35
463.5,-0.443846154
468.5,-0.44125
473.5,-0.241195652
478.5,-0.031578947
483.5,0.180487805
488.5,0.1513879
493.5,0.072416107
498.5,0.063024691
503.5,0.188798799
508.5,0.189638554
513.5,0.289375
518.5,0.219967532
523.5,0.00248731
528.5,-0.332307692
533.5,-0.292692308
538.5,-0.327357513
543.5,-0.325658263
548.5,-0.310552764
553.5,-0.436180905
558.5,-0.414962963
563.5,-0.385384615
568.5,-0.220592885
573.5,-0.1
578.5,-0.03744898
583.5,-0.238933333
588.5,-0.354064838
593.5,-0.177734807
598.5,-0.162727273
603.5,-0.065895954
608.5,-0.014255875
613.5,-0.115017065
618.5,-0.243425606
623.5,-0.388064516
628.5,-0.406024096
633.5,-0.552587413
638.5,-0.595526316
643.5,-0.629154412
648.5,-0.611818182
653.5,-0.626870229
658.5,-0.637096774
663.5,-0.612453988
668.5,-0.550296736
673.5,-0.58
678.5,-0.683397436
683.5,-0.55625
688.5,-0.28639481
693.5,-0.339684893
698.5,-0.392974977
703.5,-0.44626506
708.5,-0.499555144
713.5,-0.56826087
718.5,-0.567469388
723.5,-0.407795276
728.5,-0.218810198
733.5,-0.322025316
738.5,-0.416962025
743.5,-0.552376068
748.5,-0.426615385
753.5,-0.657286652
758.5,-0.545305466
763.5,-0.402007435
768.5,-0.525238095
773.5,-0.38919598
778.5,-0.227281106
783.5,-0.383391304
788.5,-0.44
793.5,-0.631317073
798.5,-0.544358974
803.5,-0.554101382
808.5,-0.335316456
813.5,-0.275465116
818.5,-0.4
823.5,-0.4
828.5,-0.621142857
833.5,-0.475625
838.5,-0.307113703
843.5,-0.412329545
848.5,-0.334651163
853.5,-0.449180328
858.5,-0.442553191
863.5,-0.449175258
868.5,-0.771145038
873.5,-0.824186603
878.5,-0.82
883.5,-0.800939227
888.5,-0.8816
893.5,-0.79
898.5,-0.525813953
903.5,-0.787254902
908.5,-0.991139241
913.5,-0.999849624
918.5,-0.798148148
923.5,-0.651230769
928.5,-0.510911854
933.5,-0.372453826
938.5,-0.255159091
943.5,-0.218305085
948.5,-0.282298289
953.5,-0.436039604
958.5,-0.434745763
963.5,-0.301136364
968.5,-0.24122449
973.5,-0.264
978.5,-0.252388451
983.5,-0.401490385
988.5,-0.298876652
993.5,-0.370532319
998.5,-0.380079681
1003.5,-0.4
1008.5,-0.543257143
1013.5,-0.296578947
1018.5,-0.265524625
1023.5,-0.178696629
1028.5,-0.357272727
1033.5,-0.382659341
1038.5,-0.381012987
1043.5,-0.467826087
1048.5,-0.524931507
1053.5,-0.597619048
1058.5,-0.606506024
1063.5,-0.128461538
1068.5,-0.39275
1073.5,-0.226153846
1078.5,-0.163147208
1083.5,-0.095137615
1088.5,-0.391984733
1093.5,-0.464819672
1098.5,-0.508973384
1103.5,-0.304761905
1108.5,-0.140773481
1113.5,-0.276494253
1118.5,-0.559708333
1123.5,-0.652810458
1128.5,-0.636262295
1133.5,-0.669194915
1138.5,-0.702930233
1143.5,-0.406839378
1148.5,-0.378870293
1153.5,-0.22265625
1158.5,-0.126153846
1163.5,0.001968912
1168.5,-0.056595745
1173.5,-0.136226415
1178.5,-0.258660714
1183.5,-0.400487805
1188.5,-0.5775
1193.5,-0.648146965
1198.5,-0.73
1203.5,-0.538965517
1208.5,-0.430204082
1213.5,-0.557755102
1218.5,-0.312426471
1223.5,-0.020503145
1228.5,-0.218463115
1233.5,-0.006072508
1238.5,-0.176887417
1243.5,-0.851760563
1248.5,-0.6
1253.5,-0.685617978
1258.5,-0.51106383
1263.5,-0.399473684
1268.5,-0.346285714
1273.5,-0.132863248
1278.5,-0.186105263
1283.5,-0.308142857
1288.5,-0.539903846
1293.5,-0.587707317
1298.5,-0.427024793
1303.5,-0.6444
1308.5,-0.275576923
1313.5,-0.228185053
1318.5,-0.153034826
1323.5,-0.29
1328.5,-0.666433566
1333.5,-0.586833333
1338.5,-0.545169628
1343.5,-0.411581197
1348.5,-0.004429825
1353.5,-0.036504065
1358.5,-0.259795918
1363.5,-0.246978193
1368.5,-0.515714286
1373.5,-0.479927361
1378.5,-0.361138614
1383.5,-0.250531915
1388.5,-0.110793651
1393.5,-0.05
1398.5,-0.108545455
1403.5,-0.267555012
1408.5,-0.394444444
1413.5,-0.4440625
1418.5,-0.493926247
1423.5,-0.44142029
1428.5,-0.41587156
1433.5,-0.376192469
1438.5,-0.048286853
1443.5,-0.072134831
1448.5,-0.326385965
1453.5,-0.505535714
1458.5,-0.600177778
1463.5,-0.458945313
1468.5,-0.212508961
1473.5,-0.041076923
1478.5,0.154385965
1483.5,0.092688172
1488.5,-0.102857143
1493.5,-0.18055914
