Age [ka BP],13C
3.5,0.684
8.5,0.54125
13.5,0.423
18.5,0.093
23.5,0.101511111
28.5,0.060071429
33.5,0.291063291
38.5,0.263538462
43.5,0.354390244
48.5,0.224121951
53.5,0.346
58.5,0.074952381
63.5,0.203463415
68.5,-0.058724138
73.5,0.440366667
78.5,0.617655172
83.5,0.539333333
88.5,0.49862069
93.5,0.497034483
98.5,0.588842697
103.5,0.451310345
108.5,0.213966667
113.5,0.433896552
118.5,0.42732
123.5,0.4175
128.5,0.05375
133.5,-0.157705882
138.5,-0.201852941
143.5,-0.200470588
148.5,-0.281558824
153.5,-0.313588235
158.5,-0.436117647
163.5,-0.215470588
168.5,-0.185
173.5,-0.098941176
178.5,-0.196294118
183.5,-0.036970588
188.5,-0.353294118
193.5,0.265058824
198.5,0.258913043
203.5,0.406652174
208.5,0.413688889
213.5,0.177311111
218.5,-0.170391304
223.5,-0.164076923
228.5,-0.037230769
233.5,0.176923077
238.5,0.332184211
243.5,0.172589744
248.5,-0.07819403
253.5,0.174441176
258.5,-0.189470588
263.5,-0.537
268.5,-0.480617647
273.5,-0.298470588
278.5,0.126454545
283.5,0.266769231
288.5,-0.246461538
293.5,-0.143481481
298.5,0.063703704
303.5,0.225185185
308.5,0.050740741
313.5,0.03962963
318.5,0.22037037
323.5,0.092592593
328.5,0.224074074
333.5,-0.036296296
338.5,-0.299435644
343.5,-0.222235849
348.5,-0.107698113
353.5,-0.530207547
358.5,-0.206158879
363.5,-0.250009434
368.5,-0.279924528
373.5,-0.007551402
378.5,-0.038349057
383.5,0.395142857
388.5,0.316857143
393.5,0.543619048
398.5,0.745428571
403.5,0.839
408.5,0.76847619
413.5,0.4498125
418.5,0.6555625
423.5,0.240686275
428.5,-0.014115385
433.5,-0.51252381
438.5,-0.233857143
443.5,-0.134942308
448.5,-0.068394231
453.5,-0.272615385
458.5,0.138361905
463.5,0.534457143
468.5,-0.018307692
473.5,0.616196203
478.5,0.30210559
483.5,0.532691358
488.5,0.716267081
493.5,0.93708642
498.5,0.912385093
503.5,0.771888889
508.5,0.602130435
513.5,0.638055556
518.5,0.923118012
523.5,0.821283951
528.5,0.449296296
533.5,0.286869565
538.5,0.039889764
543.5,0.126386606
548.5,0.152977169
553.5,0.243540335
558.5,0.249508772
563.5,0.245550459
568.5,0.310715596
573.5,0.561779817
578.5,0.25590367
583.5,0.310625571
588.5,0.155825688
593.5,0.298333333
598.5,0.362458716
603.5,0.412749004
608.5,0.647457666
613.5,0.525366972
618.5,0.222940367
623.5,0.066178988
628.5,0.125280156
633.5,-0.032276265
638.5,-0.158449612
643.5,0.005669261
648.5,-0.229712062
653.5,-0.028284047
658.5,-0.045653696
663.5,-0.340447471
668.5,0.028007782
673.5,-0.379875486
678.5,-0.104276265
683.5,0.247677043
688.5,0.095961089
693.5,0.532976744
698.5,0.609801556
703.5,0.532894942
708.5,0.479984436
713.5,0.201481132
718.5,-0.042619718
723.5,-0.21241784
728.5,0.043441315
733.5,-0.211245283
738.5,-0.184820755
743.5,-0.268830189
748.5,-0.282460465
753.5,0.141190698
758.5,-0.073738318
763.5,0.501401869
768.5,0.279976636
773.5,0.406539535
778.5,0.151162791
783.5,0.27595814
788.5,0.285048544
793.5,-0.313854369
798.5,-0.09807767
803.5,-0.434096154
808.5,-0.180307692
813.5,-0.042417476
818.5,0.206126214
823.5,-0.004529412
828.5,-0.048926471
833.5,-0.153658537
838.5,0.003512195
843.5,-0.073878049
848.5,0.145229268
853.5,-0.003632353
858.5,-0.015313725
863.5,0.181536585
868.5,-0.332939914
873.5,-0.510150215
878.5,-0.478474138
883.5,-0.500892704
888.5,-0.490439655
893.5,-0.196396947
898.5,-0.310051724
903.5,-0.118828326
908.5,-0.338862661
913.5,-0.533698276
918.5,-0.501145923
923.5,-0.454275862
928.5,-0.228266094
933.5,-0.290361905
938.5,0.207142857
943.5,0.225981132
948.5,0.339603774
953.5,-0.059556604
958.5,-0.03765
963.5,-0.103791667
968.5,-0.004225
973.5,0.260133333
978.5,0.260341667
983.5,0.039825
988.5,0.155177215
993.5,0.336202532
998.5,0.435
1003.5,-0.160164557
1008.5,0.200481013
1013.5,-0.00905
1018.5,-0.054708861
1023.5,0.579075949
1028.5,0.4097
1033.5,-0.025723577
1038.5,-0.115064516
1043.5,-0.189153226
1048.5,-0.136145161
1053.5,-0.132601626
1058.5,0.310219512
1063.5,0.614689189
1068.5,0.600567568
1073.5,0.266146667
1078.5,0.52584
1083.5,0.703853333
1088.5,0.517133333
1093.5,0.189611111
1098.5,-0.197048276
1103.5,0.081972222
1108.5,0.488317241
1113.5,0.480951724
1118.5,0.139055276
1123.5,-0.353509709
1128.5,-0.184514563
1133.5,0.034417476
1138.5,0.118195122
1143.5,0.376893204
1148.5,0.545941748
1153.5,0.686687805
1158.5,0.643203883
1163.5,0.696529126
1168.5,0.339892683
1173.5,0.667731707
1178.5,0.607660194
1183.5,0.591058537
1188.5,0.470521951
1193.5,-0.200073171
1198.5,-0.012447853
1203.5,0.119055215
1208.5,0.00998773
1213.5,0.164760736
1218.5,0.331271341
1223.5,0.500109756
1228.5,0.515195122
1233.5,0.336682927
1238.5,0.282335366
1243.5,0.005585366
1248.5,-0.038199153
1253.5,-0.05140678
1258.5,0.093533898
1263.5,0.504438819
1268.5,0.502940678
1273.5,0.445974576
1278.5,0.254303797
1283.5,0.129582278
1288.5,-0.052830508
1293.5,-0.126618644
1298.5,0.170898305
1303.5,0.252708861
1308.5,0.347118143
1313.5,0.516542373
1318.5,0.367601695
1323.5,0.330681481
1328.5,-0.102691176
1333.5,-0.183117647
1338.5,-0.240176471
1343.5,0.409592593
1348.5,0.581792593
1353.5,0.385740741
1358.5,0.355777778
1363.5,0.259533333
1368.5,0.361884211
1373.5,0.163228346
1378.5,0.032623037
1383.5,-0.081747368
1388.5,0.173331579
1393.5,0.614036649
1398.5,0.630631579
1403.5,0.46047644
1408.5,0.218562044
1413.5,0.205163636
1418.5,-0.034734015
1423.5,-0.016273723
1428.5,0.514454082
1433.5,0.43680292
1438.5,0.330536496
1443.5,0.45629927
1448.5,0.26910219
1453.5,-0.26638961
1458.5,0.215571429
1463.5,0.681741935
1468.5,0.602766234
1473.5,0.678941558
1478.5,0.699649351
1483.5,0.696909091
1488.5,0.521318182
1493.5,0.469785714
