Age [ka BP],stack,std
3.5,0.176,0.058077534
8.5,0.07,0.169705627
13.5,-0.153666667,0.034645827
18.5,-0.3425,0.109601551
23.5,-0.2785,0.086974134
28.5,-0.215666667,0.145684972
33.5,-0.056777778,0.114438403
38.5,-0.109777778,0.12118917
43.5,-0.079222222,0.155005854
48.5,-0.153133333,0.146449491
53.5,-0.36925,0.050558135
58.5,-0.265111111,0.253863553
63.5,-0.49,
68.5,-0.315,0.181865335
73.5,-0.072666667,0.056225736
78.5,0.045,0.152561463
83.5,0.056333333,0.18560801
88.5,-0.0595,0.090516573
93.5,-0.082888889,0.263135017
98.5,-0.0135,0.201151063
103.5,-0.035166667,0.240652008
108.5,-0.153055556,0.13198362
113.5,-0.097888889,0.166503364
118.5,-0.037,0.17551923
123.5,-0.111666667,0.199770702
128.5,-0.179,0.139366424
133.5,-0.294166667,0.056697296
138.5,-0.388333333,0.038837267
143.5,-0.451,0.036510273
148.5,-0.430055556,0.109277975
153.5,-0.4925,0.045961941
158.5,-0.525333333,0.121492112
163.5,-0.495333333,0.051286775
168.5,-0.491,0.061506097
173.5,-0.422888889,0.128049614
178.5,-0.472833333,0.110720745
183.5,-0.500166667,0.087593284
188.5,-0.401666667,0.092511261
193.5,-0.143,0.162040118
198.5,-0.151833333,0.137523028
203.5,-0.125,0.148492424
208.5,-0.143555556,0.222035116
213.5,-0.241666667,0.261023626
218.5,-0.267666667,0.137427557
223.5,-0.425,0.052915026
228.5,-0.285777778,0.038472694
233.5,-0.244666667,0.120935244
238.5,-0.062,0.205358224
243.5,-0.271555556,0.062347889
248.5,-0.471333333,0.033842774
253.5,-0.470333333,0.091452477
258.5,-0.446166667,0.175011666
263.5,-0.643777778,0.110247365
268.5,-0.655333333,0.15744911
273.5,-0.633222222,0.063149147
278.5,-0.398666667,0.06700995
283.5,-0.216666667,0.095437589
288.5,-0.348777778,0.050133525
293.5,-0.451111111,0.139566127
298.5,-0.340333333,0.134945668
303.5,-0.379444444,0.103472129
308.5,-0.281,0.210255664
313.5,-0.41775,0.073892659
318.5,-0.185,0.23477436
323.5,-0.2415,0.012020815
328.5,-0.234833333,0.168908506
333.5,-0.41,
338.5,-0.397,0.278600072
343.5,-0.492666667,0.022156012
348.5,-0.527333333,0.055148285
353.5,-0.551333333,0.131473698
358.5,-0.508166667,0.06726874
363.5,-0.419333333,0.074002252
368.5,-0.403666667,0.130462
373.5,-0.23,0.092601296
378.5,-0.299666667,0.091434858
383.5,-0.1685,0.159645701
