Age,Mean,Std
3.500000,73.588165,5.926919
8.500000,64.695519,4.318669
13.500000,77.810362,5.342873
18.500000,89.412005,9.062856
23.500000,57.130124,5.761148
28.500000,40.594114,3.533030
33.500000,53.558791,3.625193
38.500000,46.193482,4.297390
43.500000,52.276096,3.701101
48.500000,44.770991,4.180534
53.500000,97.361027,7.561644
58.500000,100.337645,10.190872
63.500000,140.980896,17.009560
68.500000,32.514897,7.366895
73.500000,57.885741,4.078304
78.500000,55.142200,3.328133
83.500000,63.866092,4.160626
88.500000,56.589625,3.837883
93.500000,55.844628,3.606315
98.500000,81.530091,4.274039
103.500000,73.184341,4.750840
108.500000,44.454108,4.715944
113.500000,51.733940,4.906683
118.500000,45.180309,5.884933
123.500000,48.596563,5.223591
128.500000,34.198150,4.888734
133.500000,40.608995,7.388004
138.500000,41.161314,13.079501
143.500000,100.866547,22.331722
148.500000,35.249843,10.693789
153.500000,33.802361,7.950395
158.500000,-9.773339,13.837691
163.500000,33.275607,7.192242
168.500000,40.041077,4.853238
173.500000,66.129835,6.728879
178.500000,79.314150,18.715971
183.500000,88.079259,17.641867
188.500000,-3.088981,8.002843
193.500000,54.671786,4.306109
198.500000,41.511976,4.018777
203.500000,49.594838,4.556403
208.500000,45.870434,4.045801
213.500000,41.611107,3.957419
218.500000,24.223680,7.000657
223.500000,32.580606,4.697029
228.500000,41.126036,3.759308
233.500000,51.210015,3.127263
238.500000,63.786800,4.070114
243.500000,63.100399,4.055973
248.500000,41.455286,3.484675
253.500000,94.996290,5.200862
258.500000,48.852282,3.002929
263.500000,8.829232,4.919346
268.500000,56.995000,14.505145
273.500000,72.775032,10.056288
278.500000,55.391466,4.145999
283.500000,53.341552,3.993889
288.500000,28.490407,10.649806
293.500000,60.086515,6.403200
298.500000,49.144141,4.345239
303.500000,72.986495,5.010214
308.500000,58.725063,4.227766
313.500000,58.903299,4.806003
318.500000,54.000833,3.840227
323.500000,48.770160,4.580282
328.500000,56.852672,4.579805
333.500000,141.794053,64.541140
338.500000,154.970694,50.897145
343.500000,45.769616,26264.240332
348.500000,80.092622,10.391355
353.500000,10.607329,3.543691
358.500000,146.071249,53.815077
363.500000,16.317850,8.879028
368.500000,20.684560,4.883925
373.500000,53.843807,7.138363
378.500000,9.806915,5.751535
383.500000,55.884300,3.701333
388.500000,48.898707,3.930938
393.500000,57.544567,4.894065
398.500000,61.627094,2.926790
403.500000,65.918976,3.579565
408.500000,72.684854,4.374242
413.500000,46.500593,4.108055
418.500000,83.936804,5.249201
423.500000,145.879569,22.150758
428.500000,-191.041691,93.604754
433.500000,35.600251,22.176479
