Age,Mean,Std
0.270000,0.694092,0.047955
4.130000,0.749928,0.044430
7.230000,0.731321,0.045820
9.470000,0.678479,0.049621
12.580000,0.694145,0.047967
15.310000,0.543824,0.060628
17.060000,0.469896,0.065826
19.900000,0.418019,0.070554
22.730000,0.463401,0.066348
26.220000,0.348916,0.077761
28.450000,0.509017,0.062328
30.010000,0.533229,0.060780
32.750000,0.477739,0.065661
39.030000,0.619600,0.054139
42.900000,0.594902,0.056103
46.200000,0.667696,0.051052
49.510000,0.647900,0.051209
52.810000,0.515343,0.062137
56.120000,0.696905,0.047837
59.420000,0.575993,0.057047
62.730000,0.641518,0.052371
65.730000,0.495258,0.063533
68.080000,0.504169,0.063335
70.440000,0.542492,0.059820
72.790000,0.619339,0.054804
75.140000,0.730311,0.047138
77.490000,0.706627,0.047388
79.840000,0.631172,0.052740
82.190000,0.694179,0.048400
84.540000,0.612154,0.056059
86.890000,0.712891,0.047276
89.240000,0.687496,0.048611
91.590000,0.616389,0.054585
93.940000,0.689088,0.050689
96.290000,0.683512,0.049041
100.990000,0.749107,0.044648
103.340000,0.653731,0.051069
105.690000,0.696914,0.048980
108.040000,0.613363,0.055143
110.390000,0.645631,0.052008
112.740000,0.653781,0.051094
115.090000,0.590428,0.056066
117.370000,0.708957,0.049221
119.320000,0.659842,0.050794
121.030000,0.675532,0.049656
132.080000,0.399628,0.072339
137.510000,0.518195,0.065368
140.230000,0.434310,0.069206
142.600000,0.436017,0.071521
145.320000,0.428862,0.068907
148.030000,0.355045,0.077661
149.050000,0.523566,0.067804
153.460000,0.347338,0.077704
156.170000,0.321472,0.081335
158.890000,0.455872,0.066823
161.600000,0.559991,0.057815
164.310000,0.461960,0.067001
167.030000,0.537951,0.060176
169.740000,0.451808,0.068067
172.460000,0.561207,0.058971
175.170000,0.633380,0.052615
177.880000,0.531911,0.060509
180.600000,0.477557,0.065294
183.310000,0.636400,0.052673
186.370000,0.517670,0.062024
188.740000,0.543741,0.059429
191.460000,0.646589,0.051542
194.230000,0.653747,0.051405
197.880000,0.652805,0.051497
201.980000,0.748143,0.044245
205.180000,0.641513,0.052025
208.820000,0.733094,0.045713
212.470000,0.750745,0.045095
216.120000,0.704336,0.047493
219.770000,0.612272,0.054182
222.900000,0.502844,0.062872
226.000000,0.659905,0.051694
229.100000,0.674719,0.049390
232.190000,0.589395,0.055759
235.290000,0.684436,0.049241
238.390000,0.675778,0.049493
241.100000,0.728514,0.045864
244.500000,0.648739,0.051560
247.200000,0.594724,0.055657
249.550000,0.613272,0.054154
252.580000,0.549808,0.058830
255.270000,0.572555,0.057023
257.960000,0.600313,0.055481
260.650000,0.522542,0.060825
263.350000,0.449122,0.067209
266.040000,0.426255,0.069675
268.730000,0.374095,0.074874
274.110000,0.526995,0.060846
276.800000,0.505203,0.062837
279.500000,0.642734,0.051992
281.700000,0.730263,0.045661
283.780000,0.745479,0.045390
285.610000,0.629109,0.053251
287.960000,0.691142,0.049189
290.040000,0.655816,0.051434
291.870000,0.622827,0.053428
294.290000,0.673737,0.049665
296.450000,0.650777,0.052187
298.600000,0.626029,0.052988
300.760000,0.662867,0.050727
302.910000,0.762099,0.043483
305.070000,0.747117,0.045724
307.220000,0.735650,0.045027
309.380000,0.652865,0.051353
311.540000,0.634295,0.053754
313.690000,0.710275,0.047331
315.850000,0.718448,0.047801
318.000000,0.695913,0.048623
320.160000,0.729356,0.046013
322.310000,0.585040,0.056480
324.470000,0.776616,0.042862
326.630000,0.718308,0.047209
328.780000,0.748181,0.044666
330.940000,0.737547,0.045731
333.090000,0.751780,0.044244
335.250000,0.683661,0.048911
337.400000,0.634238,0.052647
339.200000,0.698045,0.048424
341.330000,0.607882,0.055033
343.450000,0.522555,0.061864
345.570000,0.532120,0.061813
347.700000,0.586787,0.056598
349.820000,0.592629,0.055954
351.940000,0.539176,0.060376
354.070000,0.551795,0.060333
356.190000,0.569144,0.057626
358.310000,0.522246,0.062006
360.440000,0.554352,0.059410
362.830000,0.545104,0.059892
364.950000,0.572751,0.056440
367.070000,0.553210,0.059077
369.200000,0.621891,0.055469
371.320000,0.622917,0.053545
373.440000,0.672759,0.049784
375.570000,0.683173,0.050025
377.690000,0.558836,0.058154
379.810000,0.582713,0.056851
381.150000,0.630015,0.052819
382.420000,0.743706,0.045374
383.680000,0.684335,0.049631
384.950000,0.766294,0.043846
386.210000,0.702463,0.047758
387.480000,0.721270,0.046367
388.740000,0.663792,0.051138
390.010000,0.665813,0.051615
391.270000,0.760227,0.044563
392.540000,0.749944,0.044513
393.800000,0.796499,0.042229
395.070000,0.784201,0.042297
396.330000,0.812836,0.041133
397.600000,0.726614,0.047502
398.860000,0.800508,0.042016
400.120000,0.680355,0.049668
401.390000,0.620706,0.053532
402.650000,0.710190,0.047845
403.920000,0.679503,0.051774
405.180000,0.726756,0.046233
406.450000,0.737414,0.045303
407.710000,0.689354,0.049541
408.980000,0.647673,0.052056
410.240000,0.629337,0.053390
411.510000,0.694017,0.049179
412.770000,0.666471,0.051712
414.040000,0.591542,0.056149
415.300000,0.674675,0.049539
416.570000,0.706461,0.047779
417.830000,0.758657,0.044862
